Director's Office;http://20.188.39.158:9091?room=15
WebRooms;http://20.188.39.158:9091?room=16
Processes;http://20.188.39.158:9091?room=17
Chiller;http://20.188.39.158:9091?room=18
Systems and Services Floor;http://20.188.39.158:9091?room=19
Johnson Controls;http://20.188.39.158:9091?room=20
